Titolo,Artista,Settimana,Streaming,Radio_Tv,Download,Percentuale
Che t'o dico a fa',Angelina Mango,2024-01-06,71,28,1,100.0
Moneylove,Massimo Pericolo feat. Emis Killa,2024-01-06,99,1,0,91.29
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-01-06,99,0,1,86.6
2minuti,Calcutta,2024-01-06,62,37,1,84.29
Anche stasera,Sfera Ebbasta feat. Elodie,2024-01-06,83,16,1,82.57
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-01-06,99,1,0,82.51
15 Piani,Sfera Ebbasta feat. Marracash,2024-01-06,100,0,0,75.6
Euforia,Annalisa,2024-01-06,37,57,6,73.37
Houdini,Dua Lipa,2024-01-06,36,63,1,70.7
Rossofuoco,Mida,2024-01-06,97,0,3,64.22
Italodisco,Kolors,2024-01-06,82,13,5,63.62
Vetri neri,Ava & Anna & Capo Plaza,2024-01-06,99,0,1,60.08
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-01-06,67,32,1,59.21
Petit fou fou,Rhove & Anna,2024-01-06,87,10,2,58.26
Bruciasse il cielo,Blanco,2024-01-06,40,59,1,55.31
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-01-06,100,0,0,53.46
Greedy,Tate Mcrae,2024-01-06,36,64,0,51.51
Si no estas,Inigo Quintero,2024-01-06,98,1,2,50.49
Un milione di notti,Mr. Rain & Clara,2024-01-06,56,43,1,49.68
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-01-06,99,0,1,49.15
VDLC,Sfera Ebbasta,2024-01-06,100,0,0,48.79
Insta lova,Marracash & Guè Pequeno,2024-01-06,87,13,1,48.0
Cenere,Lazza,2024-01-06,95,5,1,47.83
"Io, me ed altri guai",Rose Villain,2024-01-06,33,65,2,47.26
Ti sento,Bob Sinclar & Matia Bazar feat. Antonella Ruggiero,2024-01-06,20,66,14,46.85
G63,Sfera Ebbasta feat. Lazza & Shiva,2024-01-06,100,0,0,44.33
Come vuoi,Geolier,2024-01-06,100,0,0,43.92
I believe in love again,Peggy Gou & Lenny Kravitz,2024-01-06,0,100,0,41.89
Bellissimissima,Alfa,2024-01-06,99,0,1,41.23
Occhi lucidi,Ultimo,2024-01-06,45,53,1,40.06
Parole vuote (La solitudine),Tedua & Capo Plaza & Shune,2024-01-06,99,1,0,39.89
Due vite,Marco Mengoni,2024-01-06,92,7,1,39.73
A fari spenti,Elodie,2024-01-06,33,66,1,39.03
Stupidi ragazzi,Achille Lauro,2024-01-06,20,80,0,37.7
Tokyo,Gaia,2024-01-06,0,98,2,37.67
Amore cane,Emma & Lazza,2024-01-06,10,90,0,37.32
Lil Boo Thang,Paul Russell,2024-01-06,0,100,0,37.16
Mon amour,Annalisa,2024-01-06,98,0,2,36.99
Lovin on me,Jack Harlow,2024-01-06,24,76,0,33.84
Una cosa bene,Articolo 31 feat. Coma_Cose,2024-01-06,0,100,0,33.83
Cocktail d'amore,Mahmood,2024-01-06,12,87,1,33.57
Tutti,Calcutta,2024-01-06,99,1,0,33.49
Kiss you (F**k you),Yung Snapp feat. Geolier,2024-01-06,100,0,0,32.83
Hoe,Tedua feat. Sfera Ebbasta,2024-01-06,100,0,0,32.05
Hoodrich,Artie 5Ive & Rondodasosa,2024-01-06,100,0,0,31.8
Nuvola,Holden,2024-01-06,98,0,2,31.75
Ciao bella,Sfera Ebbasta feat. Anna,2024-01-06,100,0,0,31.67
3D,Jung Kook & Jack Harlow,2024-01-06,0,100,0,31.42
Ci pensiamo domani,Angelina Mango,2024-01-06,100,0,0,31.4
Papaya,Villabanks,2024-01-06,100,0,0,31.29
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-01-06,98,0,2,31.16
Quando nevica,Elisa,2024-01-06,7,93,0,31.15
Mwaki,Zerb & Sofiya Nzau,2024-01-06,0,93,7,30.93
Ragazza sola,Annalisa,2024-01-06,82,15,3,29.41
Gol,Sfera Ebbasta feat. Guè,2024-01-06,100,0,0,28.62
Il male che mi fai,Geolier feat. Marracash,2024-01-06,100,0,0,28.47
Un'altra storia,Marco Mengoni feat. Franco126,2024-01-06,29,71,0,28.35
Solo mai,Paola e Chiara,2024-01-06,9,84,7,27.88
Ballon d'Or,Gemitaiz feat. Nayt,2024-01-06,100,0,0,27.06
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-01-06,97,2,1,26.54
Un briciolo di allegria,Blanco & Mina,2024-01-06,100,0,0,26.52
Mess it up [purple disco machine remix],Rolling Stones & Purple Disco Machine,2024-01-06,0,99,1,26.09
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-01-06,100,0,0,25.95
Sesso e architettura,Colapesce & Dimartino,2024-01-06,4,96,0,25.7
A cena con gli dei,Biagio Antonacci,2024-01-06,0,98,2,25.62
Milano,Bia & Sfera Ebbasta & Fivio Foreign,2024-01-06,100,0,0,25.5
Tango,Tananai,2024-01-06,89,11,0,25.35
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-01-06,100,0,0,25.32
Single soon,Selena Gomez,2024-01-06,0,100,0,24.98
Ricordi sbiaditi,Medy feat. Capo Plaza,2024-01-06,100,0,0,24.45
Fragole,Achille Lauro & Rose Villain,2024-01-06,100,0,0,24.33
Rubami la notte,Pinguini Tattici Nucleari,2024-01-06,100,0,0,24.3
3uphon,Sfera Ebbasta feat. thasup & Tony Effe,2024-01-06,100,0,0,24.05
Mercy,The Blessed Madonna feat. Jacob Lusk,2024-01-06,26,66,8,23.76
Un'altra volta,Vale Pain,2024-01-06,100,0,0,23.41
Atomic city,U2,2024-01-06,0,100,0,23.19
Blu ghiaccio travolgente,Tommaso Paradiso,2024-01-06,14,86,0,22.34
Supereroi,Mr. Rain,2024-01-06,98,0,2,22.09
Straniero,Massimo Pericolo feat. Tedua,2024-01-06,100,0,0,21.46
Anelli e collane,Artie 5Ive feat. Anna,2024-01-06,100,0,0,21.29
Alta marea,Coez & Frah Quintale,2024-01-06,100,0,0,21.21
Guasto d'amore,Bresh & Shune,2024-01-06,100,0,0,20.64
Spazio tempo,Francesco Gabbani,2024-01-06,83,4,13,19.68
Bling Bling (Oro),Guè Pequeno,2024-01-06,100,0,0,19.64
Is it over now?,Taylor Swift,2024-01-06,0,100,0,19.08
Casanova,Soolking & Gazo,2024-01-06,97,3,0,19.02
Un altro mondo,Merk and Kremont & Tananai & Marracash,2024-01-06,70,30,0,18.94
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-01-06,100,0,0,18.43
Solite chiacchiere,Francesca Michielin,2024-01-06,0,100,0,17.81
Mattino di luce,Subsonica,2024-01-06,0,98,2,17.75
Now and then,Beatles,2024-01-06,0,96,4,17.57
All I want for Christmas is you,Mariah Carey,2024-01-06,97,0,3,17.22
Bellissima,Annalisa,2024-01-06,97,0,3,16.85
Parafulmini,Ernia feat. Bresh & Fabri Fibra,2024-01-06,100,0,0,16.74
Aeiou,Pnau X Empire Of The Sun,2024-01-06,0,100,0,16.71
Red light,Tedua,2024-01-06,100,0,0,16.53
Machiavelli,Ghali feat. Simba La Rue,2024-01-06,100,0,0,16.44
Guagliò,Petit,2024-01-06,0,100,0,16.42
Momenti no,Sfera Ebbasta feat. Tedua,2024-01-06,100,0,0,16.41
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-01-06,100,0,0,16.32
X caso,Geolier feat. Sfera Ebbasta,2024-01-06,100,0,0,16.24
Ubriachi di vita,Tropico,2024-01-06,0,100,0,16.03
Lose control,Teddy Swims,2024-01-06,0,97,3,15.97
Back on 74,Jungle,2024-01-06,0,100,0,15.91
Enough is enough,Post Malone,2024-01-06,0,100,0,15.62
Baby mama,Don Pero,2024-01-06,100,0,0,15.19
Americana,Sangiovanni,2024-01-06,0,100,0,15.11
One more time,Blink-182,2024-01-06,0,100,0,15.11
Columbia,Quevedo,2024-01-06,100,0,0,14.96
Pastello bianco,Pinguini Tattici Nucleari,2024-01-06,98,0,2,14.95
Ancora,Rhove,2024-01-06,100,0,0,14.55
Malati di gioia,Sarafine,2024-01-06,0,100,0,14.4
Dimmi che non è un addio,Holden,2024-01-06,100,0,0,14.35
(It goes like) Nanana,Peggy Gou,2024-01-06,94,1,4,14.23
Seya,GIMS & Morad & Sativamusic,2024-01-06,100,0,0,14.22
Complicato,Sfera Ebbasta feat. Paky,2024-01-06,100,0,0,14.1
Better place,*Nsync & Justin Timberlake,2024-01-06,0,100,0,13.71
A te e famiglia,Salmo,2024-01-06,100,0,0,13.69
Fantasmi,Rose Villain feat. Geolier,2024-01-06,100,0,0,13.46
Lala,Myke Towers,2024-01-06,100,0,0,12.94
Storia Infinita,Medy feat. Baby Gang,2024-01-06,100,0,0,12.94
Body moving,Eliza Rose feat. Calvin Harris,2024-01-06,0,100,0,12.73
Flowers,Miley Cyrus,2024-01-06,77,19,3,12.48
Controtempo,Calcutta,2024-01-06,100,0,0,12.44
Visiera a becco,Sfera Ebbasta,2024-01-06,100,0,0,12.36
Water,Tyla,2024-01-06,23,77,0,12.29
Levante,Simba La Rue feat. Paky,2024-01-06,100,0,0,12.27
Tití me preguntó,Bad Bunny,2024-01-06,100,0,0,12.26
Fragile,Sfera Ebbasta,2024-01-06,100,0,0,12.16
Soraya,Medy & Andry The Hitmaker,2024-01-06,100,0,0,12.14
Destri,Gazzelle,2024-01-06,100,0,0,12.08
Last Christmas,Wham!,2024-01-06,96,0,4,11.92
Dance the night,Dua Lipa,2024-01-06,79,21,0,11.86
Where she goes,Bad Bunny,2024-01-06,100,0,0,11.84
Malamente,Tedua,2024-01-06,100,0,0,11.47
Another love,Tom Odell,2024-01-06,92,4,4,11.46
Freaky,Slings feat. Shiva & Niky Savage & Finesse,2024-01-06,100,0,0,11.36
Inspiegabile,Francesco Renga & Nek,2024-01-06,0,100,0,11.34
Cookies n' cream,Guè Pequeno & Anna & Sfera Ebbasta,2024-01-06,100,0,0,11.31
Cosa mi manchi a fare,Calcutta,2024-01-06,100,0,0,11.09
CRUDELIA: I nervi,Marracash,2024-01-06,100,0,0,11.06
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-01-06,100,0,0,10.98
Mare aperto,Mara Sattei,2024-01-06,0,100,0,10.97
Che colpa ne ho,Coez & Frah Quintale,2024-01-06,0,100,0,10.91
Non litighiamo più,Rocco Hunt,2024-01-06,100,0,0,10.9
Paint the town red,Doja Cat,2024-01-06,70,30,0,10.73
Pazza musica,Marco Mengoni & Elodie,2024-01-06,100,0,0,10.69
La metà della mela,Ligabue,2024-01-06,0,96,4,10.49
Giovani Wannabe,Pinguini Tattici Nucleari,2024-01-06,100,0,0,10.41
Non lo sai,Shiva,2024-01-06,100,0,0,10.41
Un altro show,Shiva feat. Geolier,2024-01-06,100,0,0,10.19
Syrup,Shiva,2024-01-06,100,0,0,10.18
Fino al giorno nuovo,Negramaro & Fabri Fibra,2024-01-06,0,100,0,10.12
Top G,Artie 5Ive feat. Sacky,2024-01-06,100,0,0,9.86
Panico,Lazza & Takagi & Ketra,2024-01-06,100,0,0,9.75
Prada,Casso & Raye & D-Block Europe,2024-01-06,74,26,0,9.69
Ricordi,Pinguini Tattici Nucleari,2024-01-06,100,0,0,9.6
Milano bene,Sfera Ebbasta,2024-01-06,100,0,0,9.58
Ridere,Pinguini Tattici Nucleari,2024-01-06,100,0,0,9.36
Viva la vida,Coldplay,2024-01-06,82,3,15,9.25
Strangers,Kenya Grace,2024-01-06,92,2,6,9.13
Puoi,Fulminacci & Pinguini Tattici Nucleari,2024-01-06,100,0,0,9.08
Paura e delirio a Milano,"Ghali feat. Tony Effe, Dylan, Side Baby",2024-01-06,100,0,0,8.96
Un milione di volte,Shiva feat. Sfera Ebbasta,2024-01-06,100,0,0,8.88
Hollywood,Irama & Rkomi & Shablo,2024-01-06,100,0,0,8.72
A mano a mano,Rino Gaetano,2024-01-06,96,0,4,8.71
Oroscopo,Calcutta feat. Ketra & Takagi,2024-01-06,100,0,0,8.69
Capri sun,Capo Plaza,2024-01-06,100,0,0,8.66
Respira,Salmo & Noyz Narcos feat. Marracash,2024-01-06,100,0,0,8.63
Molotov,Lazza,2024-01-06,100,0,0,8.13
Piove,Lazza & Sfera Ebbasta,2024-01-06,100,0,0,8.07
"Ancora, ancora, ancora [extended mark ronson remix]",Mina,2024-01-06,95,0,5,8.05
Lej,Don Xhoni & Dhurata Dora,2024-01-06,100,0,0,8.05
Vois sur ton chemin [techno mix],Bennett,2024-01-06,95,5,0,8.02
Dimmi che c'è,Thasup feat. Tedua,2024-01-06,100,0,0,7.98
Per dimenticare,Zero Assoluto,2024-01-06,100,0,0,7.86
Uscito di galera,Lazza,2024-01-06,100,0,0,7.8
Se piovesse il tuo nome,Elisa & Calcutta,2024-01-06,100,0,0,7.76
Overdrive,Ofenbach feat. Norma Jean Martine,2024-01-06,0,96,4,7.71
Pelé,Rhove & MadFingerz,2024-01-06,100,0,0,7.68
Nulla accade,Artie 5Ive & Rondodasosa feat. Capo Plaza,2024-01-06,100,0,0,7.65
Snowman,Sia,2024-01-06,90,0,10,7.65
Blinding lights,The Weeknd,2024-01-06,100,0,0,7.52
Drums,James Hype & Kim Petras,2024-01-06,0,100,0,7.31
Mi odierai,Mida,2024-01-06,100,0,0,7.27
I'm good (Blue),David Guetta & Bebe Rexha,2024-01-06,100,0,0,7.19
Baby don't hurt me,David Guetta & Anne-Marie & Coi Leray,2024-01-06,100,0,0,7.15
Sarile,Mandi Nishtulla feat. Bes Kallaku,2024-01-06,100,0,0,7.04
La musica non c'è,Coez,2024-01-06,100,0,0,6.97
Abbiamo vinto già,Tiziano Ferro & J-Ax,2024-01-06,0,100,0,6.92
One on one,Knocks & Sofi Tukker,2024-01-06,0,93,7,6.91
Gli sbagli che fai,Vasco Rossi,2024-01-06,0,100,0,6.9
Vulisse fa peccato,Nando De Marco feat. Giusy Attanasio,2024-01-06,100,0,0,6.76
Aranciata,Madame,2024-01-06,30,70,0,6.7
Something on my mind,Purple Disco Machine X Duke Dumont X Nothing But Thieves,2024-01-06,0,100,0,6.69
La coda del diavolo,Rkomi & Elodie,2024-01-06,100,0,0,6.64
Mirage,Aribeatz feat. Ozuna & Gims & Sfera Ebbasta,2024-01-06,100,0,0,6.58
Altamente mia,Bresh & Shune,2024-01-06,100,0,0,6.46
Daylight,David Kushner,2024-01-06,100,0,0,6.46
Feliz Navidad,Josè Feliciano,2024-01-06,100,0,0,6.38
Che t'o dico a fa',Angelina Mango,2024-01-13,70,29,2,100.0
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-01-13,99,0,1,91.31
Rossofuoco,Mida,2024-01-13,92,0,8,90.09
Tunnel,Simba La Rue & F.T. Kings,2024-01-13,100,0,0,90.08
Moneylove,Massimo Pericolo feat. Emis Killa,2024-01-13,100,0,0,89.7
Anche stasera,Sfera Ebbasta feat. Elodie,2024-01-13,84,15,1,88.81
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-01-13,100,0,0,85.69
Euforia,Annalisa,2024-01-13,44,52,4,85.35
2minuti,Calcutta,2024-01-13,64,34,2,83.55
Batiment,Simba La Rue & F.T. Kings feat. Sfera Ebbasta,2024-01-13,100,0,0,83.34
Houdini,Dua Lipa,2024-01-13,39,59,2,81.4
Petit fou fou,Rhove & Anna,2024-01-13,91,7,1,76.84
Bruciasse il cielo,Blanco,2024-01-13,41,58,1,72.99
15 Piani,Sfera Ebbasta feat. Marracash,2024-01-13,99,0,1,72.11
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-01-13,68,32,0,65.33
Soldi a casa,Simba La Rue & F.T. Kings feat. Ghali,2024-01-13,100,0,0,61.59
Un milione di notti,Mr. Rain & Clara,2024-01-13,53,46,1,61.55
Greedy,Tate Mcrae,2024-01-13,37,63,0,59.63
Italodisco,Kolors,2024-01-13,81,17,3,56.77
Vetri neri,Ava & Anna & Capo Plaza,2024-01-13,100,0,0,56.54
Shopping,Simba La Rue & F.T. Kings feat. Guè,2024-01-13,100,0,0,54.43
Paganini,Kid Yugi,2024-01-13,100,0,0,53.82
"Io, me ed altri guai",Rose Villain,2024-01-13,47,51,2,52.74
Si no estas,Inigo Quintero,2024-01-13,98,1,2,52.1
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-01-13,100,0,0,51.54
VDLC,Sfera Ebbasta,2024-01-13,100,0,0,49.46
Stupidi ragazzi,Achille Lauro,2024-01-13,20,79,2,48.23
Occhi lucidi,Ultimo,2024-01-13,47,52,1,48.18
Submariner,Simba La Rue,2024-01-13,100,0,0,48.1
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-01-13,100,0,0,47.32
Hood,Simba La Rue & F.T. Kings feat. Tedua,2024-01-13,100,0,0,47.17
No mix no master,Simba La Rue & Higashi,2024-01-13,100,0,0,46.5
Tokyo,Gaia,2024-01-13,0,98,2,45.83
Parole vuote (La solitudine),Tedua & Capo Plaza & Shune,2024-01-13,99,1,0,44.17
I believe in love again,Peggy Gou & Lenny Kravitz,2024-01-13,0,100,0,43.96
A fari spenti,Elodie,2024-01-13,35,64,1,43.78
Cenere,Lazza,2024-01-13,95,5,0,43.67
Amore cane,Emma & Lazza,2024-01-13,11,89,0,42.95
Insta lova,Marracash & Guè Pequeno,2024-01-13,92,8,0,42.05
Ti sento,Bob Sinclar & Matia Bazar feat. Antonella Ruggiero,2024-01-13,28,66,6,41.98
Beccaria San Vittore,Simba La Rue feat. Baby Gang,2024-01-13,100,0,0,40.69
Una cosa bene,Articolo 31 feat. Coma_Cose,2024-01-13,0,98,2,40.11
Solo mai,Paola e Chiara,2024-01-13,0,97,3,39.77
G63,Sfera Ebbasta feat. Lazza & Shiva,2024-01-13,100,0,0,39.53
Lil Boo Thang,Paul Russell,2024-01-13,0,100,0,39.4
Latitante,Simba La Rue,2024-01-13,100,0,0,38.89
Cocktail d'amore,Mahmood,2024-01-13,12,87,1,38.0
Due vite,Marco Mengoni,2024-01-13,92,6,2,37.96
Free esco free baby,Simba La Rue,2024-01-13,100,0,0,37.63
Kiss you (F**k you),Yung Snapp feat. Geolier,2024-01-13,99,1,0,37.56
Bellissimissima,Alfa,2024-01-13,98,0,2,36.36
Nuvola,Holden,2024-01-13,97,0,3,36.22
Kalashnikova,Simba La Rue,2024-01-13,100,0,0,35.4
Terra bruciata,Coez & Frah Quintale,2024-01-13,0,100,0,35.01
Tutti,Calcutta,2024-01-13,99,1,0,34.78
Ninja Plaquette,Simba La Rue & Bobo feat. Boy Mass,2024-01-13,100,0,0,34.69
Lovin on me,Jack Harlow,2024-01-13,31,68,1,34.65
Silenzio,Gianna Nannini,2024-01-13,0,87,13,34.27
Un'altra storia,Marco Mengoni feat. Franco126,2024-01-13,29,71,0,33.7
Come vuoi,Geolier,2024-01-13,100,0,0,33.47
Ragazza sola,Annalisa,2024-01-13,86,12,2,32.08
Mon amour,Annalisa,2024-01-13,98,0,2,31.54
A cena con gli dei,Biagio Antonacci,2024-01-13,0,100,0,31.36
Quando nevica,Elisa,2024-01-13,12,88,0,31.36
Levante,Simba La Rue feat. Paky,2024-01-13,100,0,0,31.28
Sesso e architettura,Colapesce & Dimartino,2024-01-13,3,96,1,31.25
Papaya,Villabanks,2024-01-13,100,0,0,30.21
Lose control,Teddy Swims,2024-01-13,7,86,7,30.05
Is it over now?,Taylor Swift,2024-01-13,5,93,2,29.91
Ballon d'Or,Gemitaiz feat. Nayt,2024-01-13,99,1,0,29.72
Agitato,Simba La Rue,2024-01-13,100,0,0,29.71
Mwaki,Zerb & Sofiya Nzau,2024-01-13,0,90,10,28.7
Ci pensiamo domani,Angelina Mango,2024-01-13,98,0,2,27.95
Freestyle,Simba La Rue,2024-01-13,100,0,0,27.81
Milano Shotta freestyle,Shiva,2024-01-13,100,0,0,26.76
3D,Jung Kook & Jack Harlow,2024-01-13,0,100,0,26.66
Hoe,Tedua feat. Sfera Ebbasta,2024-01-13,100,0,0,26.18
Amore di mamma,Simba La Rue & F.T. Kings,2024-01-13,100,0,0,25.4
Ciao bella,Sfera Ebbasta feat. Anna,2024-01-13,100,0,0,25.02
Milano,Bia & Sfera Ebbasta & Fivio Foreign,2024-01-13,98,0,2,23.81
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-01-13,100,0,0,23.66
Gol,Sfera Ebbasta feat. Guè,2024-01-13,100,0,0,23.56
Ricordi sbiaditi,Medy feat. Capo Plaza,2024-01-13,100,0,0,23.15
Supereroi,Mr. Rain,2024-01-13,89,10,2,22.5
Un briciolo di allegria,Blanco & Mina,2024-01-13,98,0,2,22.37
Tango,Tananai,2024-01-13,98,0,2,22.17
Spazio tempo,Francesco Gabbani,2024-01-13,88,3,8,21.66
Rubami la notte,Pinguini Tattici Nucleari,2024-01-13,100,0,0,21.39
Bling Bling (Oro),Guè Pequeno,2024-01-13,100,0,0,20.36
Il male che mi fai,Geolier feat. Marracash,2024-01-13,100,0,0,20.31
Machiavelli,Ghali feat. Simba La Rue,2024-01-13,100,0,0,20.09
Solite chiacchiere,Francesca Michielin,2024-01-13,0,100,0,20.05
Mess it up [purple disco machine remix],Rolling Stones & Purple Disco Machine,2024-01-13,0,98,2,19.74
Guasto d'amore,Bresh & Shune,2024-01-13,100,0,0,19.64
Red light,Tedua,2024-01-13,100,0,0,19.63
Un altro mondo,Merk and Kremont & Tananai & Marracash,2024-01-13,63,37,0,19.46
Mercy,The Blessed Madonna feat. Jacob Lusk,2024-01-13,33,62,5,19.38
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-01-13,100,0,0,19.3
Hoodrich,Artie 5Ive & Rondodasosa,2024-01-13,100,0,0,19.25
Straniero,Massimo Pericolo feat. Tedua,2024-01-13,100,0,0,19.01
Fragole,Achille Lauro & Rose Villain,2024-01-13,100,0,0,18.88
Anelli e collane,Artie 5Ive feat. Anna,2024-01-13,100,0,0,18.83
Blu ghiaccio travolgente,Tommaso Paradiso,2024-01-13,22,78,0,18.76
Casanova,Soolking & Gazo,2024-01-13,97,3,0,18.58
Enough is enough,Post Malone,2024-01-13,0,100,0,18.58
Aeiou,Pnau X Empire Of The Sun,2024-01-13,0,100,0,18.39
3uphon,Sfera Ebbasta feat. thasup & Tony Effe,2024-01-13,100,0,0,18.1
Dimmi che non è un addio,Holden,2024-01-13,98,0,2,17.72
Baby mama,Don Pero,2024-01-13,100,0,0,17.34
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-01-13,97,1,2,17.1
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-01-13,100,0,0,16.41
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-01-13,100,0,0,16.01
Seya,GIMS & Morad & Sativamusic,2024-01-13,100,0,0,15.88
Single soon,Selena Gomez,2024-01-13,0,100,0,15.81
Columbia,Quevedo,2024-01-13,100,0,0,15.75
Atomic city,U2,2024-01-13,0,100,0,15.52
Guagliò,Petit,2024-01-13,27,68,5,15.4
Momenti no,Sfera Ebbasta feat. Tedua,2024-01-13,100,0,0,15.1
Ancora,Rhove,2024-01-13,100,0,0,14.98
Alta marea,Coez & Frah Quintale,2024-01-13,100,0,0,14.97
Parafulmini,Ernia feat. Bresh & Fabri Fibra,2024-01-13,100,0,0,14.9
Fantasmi,Rose Villain feat. Geolier,2024-01-13,100,0,0,14.68
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-01-13,100,0,0,14.66
Soraya,Medy & Andry The Hitmaker,2024-01-13,100,0,0,14.55
X caso,Geolier feat. Sfera Ebbasta,2024-01-13,100,0,0,14.54
Storia Infinita,Medy feat. Baby Gang,2024-01-13,100,0,0,13.94
Gli sbagli che fai,Vasco Rossi,2024-01-13,17,79,4,13.51
Body moving,Eliza Rose feat. Calvin Harris,2024-01-13,0,100,0,13.19
Better place,*Nsync & Justin Timberlake,2024-01-13,0,100,0,13.09
Controtempo,Calcutta,2024-01-13,100,0,0,13.08
Malamente,Tedua,2024-01-13,100,0,0,12.31
Cosa mi manchi a fare,Calcutta,2024-01-13,100,0,0,12.22
CRUDELIA: I nervi,Marracash,2024-01-13,100,0,0,12.15
La metà della mela,Ligabue,2024-01-13,0,100,0,12.14
Complicato,Sfera Ebbasta feat. Paky,2024-01-13,100,0,0,12.11
(It goes like) Nanana,Peggy Gou,2024-01-13,79,17,5,11.96
Lala,Myke Towers,2024-01-13,100,0,0,11.95
Water,Tyla,2024-01-13,27,73,0,11.83
Destri,Gazzelle,2024-01-13,100,0,0,11.82
Bellissima,Annalisa,2024-01-13,96,0,4,11.77
La notte,Sally Cruz & Thasup & Mike Defunto,2024-01-13,100,0,0,11.39
Visiera a becco,Sfera Ebbasta,2024-01-13,100,0,0,11.21
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-01-13,100,0,0,10.94
Vulisse fa peccato,Nando De Marco feat. Giusy Attanasio,2024-01-13,100,0,0,10.78
Another love,Tom Odell,2024-01-13,97,0,3,10.75
Fragile,Sfera Ebbasta,2024-01-13,100,0,0,10.68
Flowers,Miley Cyrus,2024-01-13,74,23,3,10.66
Mattino di luce,Subsonica,2024-01-13,0,100,0,10.61
Panico,Lazza & Takagi & Ketra,2024-01-13,100,0,0,10.56
Ubriachi di vita,Tropico,2024-01-13,0,100,0,10.54
Top G,Artie 5Ive feat. Sacky,2024-01-13,100,0,0,10.48
Non lo sai,Shiva,2024-01-13,100,0,0,10.48
Lej,Don Xhoni & Dhurata Dora,2024-01-13,100,0,0,10.46
Where she goes,Bad Bunny,2024-01-13,100,0,0,10.39
Un altro show,Shiva feat. Geolier,2024-01-13,100,0,0,10.29
Freaky,Slings feat. Shiva & Niky Savage & Finesse,2024-01-13,100,0,0,10.26
Prada,Casso & Raye & D-Block Europe,2024-01-13,74,26,0,10.18
Boulevard,Artie 5ive & Rondodasosa,2024-01-13,97,3,0,10.17
Ricordi,Pinguini Tattici Nucleari,2024-01-13,100,0,0,10.13
Ridere,Pinguini Tattici Nucleari,2024-01-13,100,0,0,9.89
Fino al giorno nuovo,Negramaro & Fabri Fibra,2024-01-13,0,100,0,9.89
Syrup,Shiva,2024-01-13,100,0,0,9.85
Puoi,Fulminacci & Pinguini Tattici Nucleari,2024-01-13,100,0,0,9.65
Overdrive,Ofenbach feat. Norma Jean Martine,2024-01-13,0,91,9,9.6
Giovani Wannabe,Pinguini Tattici Nucleari,2024-01-13,100,0,0,9.52
Oroscopo,Calcutta feat. Ketra & Takagi,2024-01-13,100,0,0,9.46
Cookies n' cream,Guè Pequeno & Anna & Sfera Ebbasta,2024-01-13,100,0,0,9.35
Murder on the dancefloor,Sophie Ellis-Bextor,2024-01-13,91,5,4,9.26
Paura e delirio a Milano,"Ghali feat. Tony Effe, Dylan, Side Baby",2024-01-13,100,0,0,9.18
Mi odierai,Mida,2024-01-13,95,5,0,9.11
Dimmi che c'è,Thasup feat. Tedua,2024-01-13,100,0,0,9.07
Strangers,Kenya Grace,2024-01-13,97,3,0,9.07
Respira,Salmo & Noyz Narcos feat. Marracash,2024-01-13,100,0,0,9.06
"Ancora, ancora, ancora [extended mark ronson remix]",Mina,2024-01-13,96,0,4,9.01
Americana,Sangiovanni,2024-01-13,0,100,0,8.97
Sintetico,Kid Yugi & Night Skinny & Tony Boy,2024-01-13,100,0,0,8.95
La tua canzone,Coez,2024-01-13,100,0,0,8.91
Non litighiamo più,Rocco Hunt,2024-01-13,100,0,0,8.86
Capri sun,Capo Plaza,2024-01-13,100,0,0,8.86
Abbiamo vinto già,Tiziano Ferro & J-Ax,2024-01-13,0,100,0,8.74
Se piovesse il tuo nome,Elisa & Calcutta,2024-01-13,100,0,0,8.66
